event_index,mrr_real_async,mrr_real_sync,mrr_iid_async,mrr_iid_sync
143,0.4114146874465256,0.418616411291186,0.42645665587389947,0.4235187394809493
144,0.4118496726353101,0.41841613736741196,0.42626506666915914,0.42273392227768836
145,0.41239266683454695,0.4180111136653782,0.426895659071912,0.42483687084530575
146,0.41282095748325,0.41839776169875276,0.42764036392245147,0.4251391032223969
147,0.41275756551320464,0.4185064099832948,0.4277588308448661,0.4249738052221614
148,0.4127526722330046,0.41840757258252226,0.42805811286482964,0.4260688109979598
149,0.41497190022468694,0.4179818819417771,0.4288388651449661,0.42817703975142385
150,0.42240351293232814,0.417056530575007,0.43016330089608423,0.4305110187694991
151,0.4224408548791129,0.4170995710462933,0.4306410994719632,0.429113326966087
152,0.42135160609020283,0.4172377925437935,0.4311403477581577,0.4293203352261925
153,0.42150852671011446,0.4177237808582263,0.4321089539149561,0.43047973604886924
154,0.4214224907263222,0.4172001695735429,0.4326167939525533,0.42877409307183184
155,0.4214392332885308,0.4174294718671987,0.43352740044715377,0.42835066304831587
156,0.320975703425921,0.41715220084020965,0.4337565314477757,0.4296328522781702
157,0.3501304590409511,0.4173072344606306,0.4341619046572432,0.42963177723259954
158,0.36998169677677006,0.41751158410183736,0.43427595639008665,0.42950974122660723
159,0.38845223710651083,0.41761541108369266,0.4346494211277557,0.4312312837700573
160,0.39344673679269115,0.41708156197943114,0.43522983381828656,0.4313435231189106
161,0.3890378873553325,0.41611049168667114,0.4355984871576771,0.43102838455933995
162,0.3873306781633036,0.4164198187486842,0.436017827564081,0.4320491301265209
163,0.3876428457185986,0.4162585765353898,0.4360205276374626,0.43024766993359786
164,0.38281434068053677,0.41612134134248874,0.4363793980142258,0.43228852670383794
165,0.38272061026638976,0.41498276492406977,0.436470323701072,0.4323797116334253
166,0.3842047893673021,0.41530482617807096,0.43602658977347697,0.4326769844511787
167,0.38393471240877947,0.41543205017291596,0.4360903483962254,0.4315144676377675
168,0.37900531538765014,0.415563362138381,0.4361576904979226,0.43133572511280527
169,0.38698924162015985,0.4158949451039355,0.43619477308445964,0.4315059631521112
170,0.3880811437533136,0.4142622995725769,0.4361497479483859,0.4314465892754464
171,0.38808330995653845,0.4149688066986367,0.4360424409767697,0.4324182026829438
172,0.3888469009646483,0.4143093204438984,0.4360351439592439,0.4330119201053214
173,0.3791868659289522,0.4146866221038353,0.43607488563941676,0.43313523932588627
174,0.34687615253386817,0.4146450916616328,0.4358446336105854,0.43304753936525403
175,0.3554176926970064,0.4142635843645221,0.4354234169525862,0.43328308632957224
176,0.3581818881093343,0.4140283165647693,0.4355384220858536,0.4337321292242109
177,0.34483531491229014,0.4132346171598193,0.4360156906252388,0.43620495856758257
178,0.30054255841714017,0.41317743734004553,0.43666914637676213,0.43444380933636856
179,0.20046903174452624,0.41395514327661487,0.4363196767306159,0.4344566716531619
180,0.20854217905465142,0.4140785517293468,0.43605589156609975,0.4343032557591278
181,0.2628438334699414,0.41416299636552045,0.4363148781312463,0.43441430685072124
182,0.23942135673389925,0.4153334826619553,0.43638929176811825,0.4341293187131011
183,0.23356748762233653,0.41541698147034256,0.43638033052744263,0.43420977535476973
184,0.13056945973870684,0.41426731266447775,0.43673001305111553,0.43500722743395165
185,0.13424194004366866,0.4139544948987073,0.43640841181505546,0.4343331442145534
186,0.12771887887289116,0.4134921355645381,0.43637560510663526,0.4349663667446541
187,0.28736513286657783,0.4137046748107764,0.4360006322041607,0.4339305179146858
188,0.2894636003703369,0.4151505005005788,0.43608161490285324,0.43388406408682634
189,0.29293014636065795,0.415916449881507,0.43577686955073414,0.433844314290819
190,0.3849896023012226,0.41562690370203337,0.43567411728223454,0.43320209390004066
191,0.38517472636669964,0.4154002062516942,0.43520012389510504,0.43196365316240576
192,0.3961871864267014,0.41554049264107396,0.4350396773648917,0.4319707735700009
193,0.39603274535759253,0.41537634982254795,0.4353048731819694,0.43246145102173306
194,0.39097818042657184,0.4152807390864926,0.43535093563615074,0.43251877602347694
195,0.39191330861050633,0.4154299131957834,0.4346019175881659,0.43145998985538025
196,0.3936299900464656,0.41525217352635974,0.43380404639376696,0.43089831489266456
197,0.3934030678888013,0.41569094342340246,0.4336729463092907,0.43113276312098864
198,0.39399926055643864,0.4164369879213929,0.43344581162650353,0.43144707129090676
199,0.3940526727336774,0.4182476017346943,0.433692112847725,0.432282406956055
200,0.3997418091559564,0.4182082138119862,0.4334910429994978,0.4325438376202474
201,0.3988015450558659,0.41717903825209723,0.4336716198310366,0.43313920163326364
202,0.3819767851134891,0.41700260318968924,0.4348841601860886,0.4359224072792625
203,0.37943012880427496,0.4172276018776213,0.4352139116132835,0.4356057551133519
204,0.37615900545795034,0.41808177131835605,0.43546998688520544,0.43585735333039977
205,0.3706705318023312,0.41794219493235063,0.43621671763679476,0.43691438934077403
206,0.3723497103607211,0.41796733879438996,0.4364527022237083,0.43695299214803573
207,0.3724877384041905,0.4193486649252525,0.4366850657337799,0.43694038050425915
208,0.3730540780128638,0.41878134776712533,0.4366386464821525,0.4365092147851655
209,0.3732433708124523,0.41939796945932,0.4366291809003349,0.43647776772830865
210,0.3744017452526422,0.41997112450375845,0.4366256121858381,0.43618630862863494
211,0.38060698763363127,0.42003400996041473,0.43567993908071306,0.4363352257494957
